CandidateID,skills,major_field_of_studies,positions,responsibilities
C1863,"['Data Science', 'Customer analytics', 'Data Visualization', 'Natural language Processing', 'SQL', 'Python', 'R', 'Tableau', 'Alteryx', 'Process Improvement']",['ECE'],['Data Managerial Intern'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




"
C2211,"['Machine Learning', 'Data Analysis', 'Data Visualization', 'Risk Assessment', 'Debugging', 'Database Management', 'Access Control', 'IAM', 'Sail point', 'Java', 'Python', 'MySQL', 'MongoDB', 'Data Structures']",['Computers'],['SDE for Software Caging'],"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support"
C5810,"['Data Analysis', 'Data Visualization', 'Data Structures', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Statistical Modeling', 'Predictive Modeling', 'Algorithms', 'Python', 'Hive', 'SQL', 'Java', 'Tableau', 'Big Data', 'Hadoop', 'C++', 'ANN']",['N/A'],['Intern'],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration"
C2125,"['Basic and Advanced Supervision Training Courses', 'CBMET', ""Toshiba certified service trained on Aquilion 16, 32 and 64 slice CT's"", 'Toshiba certified service trained on Vantage 1.5 T 8 channel MRI', 'Toshiba certified service trained on Siemens E-Cam Nuclear Medicine Camera', 'Aramark service trained on GE AMX 4 and AMX4+ portable XR unit', 'Aramark service trained on GE 9600, 9800, 9900 Portable C-Arm', 'Aramark service trained on GE Precision 500 Radiology and Fluoroscopic image system', 'Microsoft Applications', 'Foresight Imaging Systems trained on DICOM protocols', 'Skilled in the operation of MS 2000, Windows 7, MySQL, PHP, Apache, UNIX, Linux, Cisco', 'Skilled in the operation of networks', 'Skilled in the operation of workstations and servers']","['Electronic Technology', 'Business Management', 'Computer Programming']","['Clinical Engineering Manager', 'Imaging Service Engineer', 'Imaging Service Engineer', 'Biomedical Equipment Technician II']","Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution"
C6889,"['Accounts receivable professional', 'Sales Software: Salesforce.com, TapScan', ""Public Relations Software: Bacon's Mediasource, Factiva"", 'Desktop Publishing Software: Photoshop, Illustrator, HTML']",['Accounting'],"['Accountant', 'Customer Service Rep', 'Store Manager']","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification"
C4163,"['Data entry', 'Employee training', 'Equipment maintenance', 'ERP : Microsoft AX Dynamics', 'Failure analysis', 'Inspection', 'Lean manufacturing', 'Mechanical processes', 'protocols execution', 'Supervisory', 'System integration', 'Team player', 'Troubleshooting']",[None],"['Engineering Technician', 'Sr. Repair Technician', 'Lead Manufacturing Technician Production Supervisor', 'Wafer Fab Technician', 'Assembler/Operator', 'Test Technician']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance"
C9337,"['Machine Learning', 'Data Analysis', 'Data Visualization', 'Risk Assessment', 'Debugging', 'Database Management', 'Access Control', 'IAM', 'Sail point', 'Java', 'Python', 'MySQL', 'MongoDB', 'Data Structures']",['Computers'],['SDE for Software Caging'],"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution"
C5560,"['CAD packages (SolidWorks, Autodesk Inventor, AutoCAD, CATIA, PTC CREO)', 'CAE Softwares (HyperMesh, Abaqus, ANSYS, Optistruct)', 'Analysis (Linear & Non-linear Static, Dynamic, GD & T, Tolerance Analysis, Design Optimization)', 'Sheet metal', 'Design for manufacturing', 'Generating Bill of Materials', 'DFMEA', 'Sculpting', 'Advanced material selection for rapid prototyping', 'Advanced manufacturing', 'Welding', '3D printing']","['Mechanical & Aerospace Engineering', 'Mechanical Engineering']","['Finite Element Analysis of Industrial Robotic Assembly', 'Reliability Engineering Analysis on Automotive Oil Pump', 'Gearbox Design', 'Mechanical Engineering Intern', 'Manufacturing Engineering Intern']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws"
C9146,"['Budget forecasting expertise', 'Analytical reasoning', 'Account reconciliation expert', 'Strong organizational skills', 'General ledger accounting', 'Expert in customer relations', 'Flexible team player', 'Advanced computer proficiency (PC and Mac)', 'Performed debit, credit and total accounts on computer spreadsheets/databases, using specialized accounting software.', 'Received, recorded, and banked cash, checks, and vouchers as well as reconciled records of bank transactions.', 'Worked with management to document and offset unusual expense variances in their respective areas.', 'Assisted the CFO with the production of the monthly financials, management reports and board packages.', 'Coded the general ledger and processed vendor invoice payments.', 'Researched and resolved billing and invoice problems.', 'Account reconciliations', 'Accounting', 'Accountant', 'accounting systems', 'accounting system', 'Accounts payable', 'Adobe Acrobat', 'agency', 'Balance', 'banking', 'Budget analysis', 'budget', 'bi', 'cash handling', 'clerical', 'contracts', 'cost accounting', 'Database', 'fax', 'FDS', 'Finance', 'Financial', 'Financial analysis', 'financial management', 'financial operations', 'financial reports', 'financial statements', 'fiscal management', 'forecasting', 'functional', 'fund accounting', 'funds', 'General Ledger', 'Government', 'grants', 'Innovation', 'maintains inventory', 'inventory', 'leadership skills', 'Macintosh', 'Mainframe', 'managerial', 'managerial accounting', 'Access', 'Microsoft Access', 'Microsoft Excel', 'Excel', 'Microsoft Office software', 'Office', 'Outlook', 'PowerPoint', 'Publisher', 'Windows', 'Word', 'Monitors', 'newsletter', 'Payroll', 'IBM-PC', 'copier', 'Policies', 'processes', 'profit', 'Program Development', 'proposals', 'QuickBooks', 'reconciling', 'record keeping', 'repairs', 'reporting', 'scanner', 'technical support', 'phone', 'time management', 'type', 'written', 'annual reports', 'year-end']","['Business Administration', 'Accounting Management']","['Accountant', 'Accounting Clerk', 'Church Administrator']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO"
C1047,"['Data Science', 'Logistic Regression', 'Clustering', 'Data Structures', 'Software Engineer', 'Data Analytics', 'Machine Learning', 'Visual Studio', 'Statistical Analysis', 'Linux', 'Unix', 'Python', 'Software Developer']",['Information Technology'],['SDE'],"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation"
C4324,"['Big Data', 'Hadoop', 'Hive', 'Python', 'Mapreduce', 'Spark', 'Java', 'Machine Learning', 'Cloud', 'Hdfs', 'YARN', 'Core Java', 'Data Science', 'C++', 'Data Structures', 'DBMS', 'RDBMS', 'Informatica', 'Talend', 'Amazon Redshift', 'Microsoft Azure']",['Electronics'],['Big Data Analyst'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation"
C8302,"['Microsoft Excel, Project and Visio', 'Adobe', 'Engineering standards', 'OSHA regulations', 'MS Office proficient', 'Competency in procedure development', 'Advanced anatomy knowledge', 'Advanced knowledge of embedded systems', 'Vast technical knowledge', 'Windows XP/Vista', 'DHCP/DNS Ethernet and Firewall proficient', 'LAN aptitude', 'Proficient in AVG, Printers, PC Security systems', 'Knowledge of manufacturing test methodologies.', 'Database servers', 'Local remoter systems support', 'Proficiency in TCP/IP protocols', 'Information security', 'Document management', 'Ability to stand and walk for hours at time.']",,"['Biomedical Engineering Technician II', 'Nutrition Clerk', 'Manager/Assistant Service Coordinator', 'Receptionist']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support"
C4511,"['Quality Assurance', 'Testing', 'Access', 'Qa', 'Cases', 'Database', 'Regression Testing', 'Visual Basic', 'Client/server', 'Clients', 'Integration', 'Integration Testing', 'Integrator', 'Lotus Notes', 'Microsoft Windows', 'Ms Access', 'Ms Visual Basic', 'Printing', 'Software Quality Assurance', 'Windows 95', 'Electrical Engineering', 'Documentation', 'Network Protocols', 'Oracle', 'Proposals', 'Sql', 'Unix', 'Qa Test', 'Test Plan', 'Test Cases', 'Application Analysis', 'Application Support', 'Automated Test Scripts', 'Basis', 'Billing', 'Business Process Management', 'C++', 'Contracts', 'Dispatching', 'Issues Management', 'Logistics', 'Maintenance', 'Maintenance Repair', 'Planning Modules', 'Process Management', 'Qa Testing', 'Scheduling', 'Staff Training', 'Strategic Planning', 'Systems Support', 'Telephony', 'Test Scripts', 'Training', 'Graphical User Interface', 'Gui', 'Wireless', 'Black Box', 'Usability', 'Adt', 'Api', 'Application Development', 'Pocket Pc', 'System Administration', 'Systems Administration', 'Telephones', 'Voice', 'Wap', 'Retail', 'Retail Marketing', 'Team Lead', 'Architecture', 'Database Systems', 'Design Review', 'Engineer', 'Quality Engineer', 'Software Quality Engineer', 'Test Plans', 'White Box', 'White Box Testing', 'Black Box Testing', 'Data Acquisition', 'Databases', 'Db2', 'Dbase', 'Dbase Iv', 'Excellent Verbal And Written Communication Skills', 'Ftp', 'Ieee', 'Internet Explorer', 'Ipx', 'Java', 'Javascript', 'Linux', 'Ms Office', 'Netbeui', 'Netscape', 'Networking', 'New Products', 'Novell', 'Operations', 'Problem Solving', 'Rdbms', 'San', 'Software Development', 'Software Testing', 'Solutions', 'Storage Area Network', 'Structured Software', 'System Integration', 'Tcp', 'Tcp/ip', 'Virtual Machine', 'Visual Test', 'Vm', 'Assurance Analyst', 'Automated Testing', 'Back End', 'Data Integrity', 'Dos', 'Encryption', 'Exchange', 'File', 'Invoice', 'Lan', 'Ms Exchange', 'Ms-dos', 'Progress', 'Security', 'Business Intelligence', 'Collection', 'Data Collection', 'Data Mining', 'Data Warehousing', 'E-business', 'Embedded Systems', 'Html', 'Inspections', 'Inventory', 'Qa Engineering', 'Real Time', 'Real Time Embedded', 'Real Time Embedded Systems', 'Shipping', 'Wireless Data']","['Management', 'N/A', 'Electrical Engineering']","['QA Engineering Team Lead', 'Quality Assurance Engineering Manager', 'QA Lead for Customer Care/Service Applications', 'Mail - Software Quality Engineer II', 'Senior Quality Assurance Analyst', 'Software Quality Assurance']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




"
C8262,"['Machine Learning Engineering', 'Algorithm development', 'Python', 'Data Arbitration', 'Neural Networks', 'PyTorch', 'Pattern Recognition', 'Chatbot']","['Computer Science Engineering', 'Big Data Analytics']",['Associate Machine Learning Engineer'],"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration"
C5934,"['C++', 'Python', 'C', 'Software Developer', 'Prediction Modelling', 'Machine Learning']",['Computers'],['Developer Engineer'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration"
C3003,"['Project Management', 'Quality Management System Implementation', 'Production and Engineering Management', 'Staff development', 'Cost reduction', 'Process development and documentation', 'Process improvement/simplification', 'Source evaluation and selection', 'Experience with AutoCAD', 'Microsoft Office', 'Various ERP systems', 'ISO9001 and AS9100 auditing']",['Mechanical Engineering'],"['Engineering Manager/Quality Manager', 'Manufacturing Engineer, Project Engineer, Sales Engineer, Product Development Engineer, and Manufacturing Engineering Manager']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking"
C2532,"['Software Development', 'Machine Learning', 'Deep Learning', 'Risk Assessment', 'Requirement Gathering', 'Application Support', 'JavaScript', 'Python', 'Docker', 'HTML', 'Hive', 'CSS', 'C', 'C++']",['Electronics/Telecommunication'],['Software Developer (Machine Learning Engineer)'],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution"
C6933,"['Perl', 'Java', 'C++', 'HTML', 'PHP', 'MySQL', 'Scheme', 'MatLab', 'Microsoft Office', 'Adobe Photoshop', 'Adobe Dreamweaver', '3ds Max', 'Windows (95, 98, 2000, XP, Vista)', 'Mac OS', 'Linux', 'Self-motivated', 'Creative thinker', 'Detail-oriented', 'Excellent time management skills']",['Computer Science'],"['Collaborative User Experience Group Intern', 'Student Web Developer', 'Teaching Assistant', 'Computer teacher']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning"
C9349,"['Book', 'Budget 5', 'Budget', 'Carpentry', 'Coaching', 'Communication skills', 'Communication', 'Skills', 'CA', 'Consulting', 'Contracts', 'Counseling', 'Customer services', 'Designing', 'Drafting', 'Engineer', 'Estimating', 'Features', 'First aid', 'Focus', 'Hand tools', 'HVAC', 'Inventory', 'Leadership skills', 'Leadership', 'Materials', 'Mathematics', 'Mechanical', 'Meetings', 'Painting', 'Payroll', 'Performance reviews', 'Personnel', 'Physics', 'Plumbing', 'Property Management', 'Purchasing', 'Read', 'Reading', 'Record keeping', 'Repairs', 'Safety', 'Scanners', 'Staff', 'Training', 'Supervision', 'Supervising', 'Test equipment', 'Troubleshooting', 'Type', 'Wiring']","['Electrical', 'Electrical']","['Chief Engineer', 'Director of Engineering', 'Director of Engineering']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance"
C4661,"['DasyLab', 'Labview', 'Mechanical', 'Electrical', 'Lean/5S', 'Hydraulic Testing', 'Test Stand Fabrication']","['Applied Science Electronics Engineering', 'Applied Science, Munitions Systems Technology']","['Engineering Lab Technician', 'Engineering Lab Technician, Sr. Specialist', 'Assembly/ Test Technician', 'Munitions Systems Journeyman']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability"
C6161,"['Academic', 'AutoCad', 'banking', 'basic', 'Calculus', 'credit', 'database', 'Database Management System', 'Engineer', 'Experiments', 'GUI', 'LASER', 'layout', 'Materials', 'MATLAB', 'Mechanical Engineering', 'Excel', 'Microsoft Office', 'Outlook', 'Power Point', 'Word', 'MySQL', 'Optimization', 'Physics', 'Police', 'progress', 'Research', 'Retail', 'Scheduling', 'Statistics', 'VBA', 'website']","['Industrial Engineering', 'Mechanical Engineering']","['Mechanical Engineering Tutor', 'Assistant Professor', 'Intern']","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits"
C0488,"['Adobe Captivate', 'Blackboard', 'Business Objects', 'Clarity', 'Cerner', 'DOORS', 'eCHIMP', 'Eclipsys', 'EHRs', 'EPIC', 'HBOC', 'MACESS', 'IDX', 'I-MAX', 'FACET', 'HEAT', 'SQL Server 2005', 'Cognos', 'ER/Studio', 'Mini-tab', 'Oracle', 'SAS', 'SharePoint Foundation 2007/2010', 'SPSS', 'pcAnywhere', 'Excel', 'Word', 'One Note', 'Outlook', 'Power Point', 'Project', 'SharePoint', 'Visio']","['Project Management', 'Project Management', 'Management Information Systems', 'Business Administration']","['Manager Engineering Manufacturing Systems Engineering Manager', 'Manager Engineering Process Initiatives Manager', 'Manager Engineering Process Manager', 'Business Process Analyst', 'Applications Specialist', 'Business Systems Analyst', 'Information Architect']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting"
C9136,"['Microsoft Excel expert - Pivot Tables, V-Lookups, Formulas', 'Access Database Queries & data mining', 'Proficient in Microsoft Office, MS Word, Outlook, PowerPoint', 'PeopleSoft use & knowledge - Queries & data mining', 'Oracle experience', 'SharePoint use experience', 'InfoLease for Lease and Financial Accounting & CITConnect Research', 'Internet Accounting, Finance and Tax Research - Lexis-Nexis, CCH & RIA Tax Research', 'STAT- FSI Track', 'Ultra Tax', 'IMAGE Scanner Asset Manager -10-key; Printers & Scanners; general office tools', 'QuickBooks']","['Business Administration, Accounting & Finance', 'N/A', 'N/A']","['Senior Accountant', 'Corporate Tax Analyst', 'Staff Accountant', 'Financial Advisor']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration"
C4630,"['Brand development', 'Analyzing market trends', 'Established track record of exceptional sales results', 'Account Management', 'Excellent negotiating tactics', 'Skilled multi-tasker', 'SalesForce lead management', 'Strong interpersonal skills']",['Marketing Management Real Estate'],"['Business Development Executive', 'Solutions Analyst', 'Product Marketing Specialist', 'Project Coordinator/ Sales']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws"
C9427,"['Key decision making', 'Marketing', 'Verbal and written communication', 'Strategic planning', 'Excellent at Networking', 'Relationship building and management', 'Conflict resolution', 'Goals and performance', 'New business development', 'Territory management', 'Account management and development', 'Product and service sales', 'Team leadership']","['Coaching', 'Business Administration, Marketing']","['Business Development Manager', 'Regional Sales Manager', 'Senior Account Manager', 'Senior Account Manager', 'Senior Account Manager', 'Senior Buyer / Program Manager']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking"
C2862,"['Business Analyst', 'Data Analysis', 'Business Analysis', 'Machine Learning', 'Tableau', 'Seaborn', 'Python', 'R', 'AWS VIEW', 'NodeJS']",['N/A'],['Part-Time Analyst'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge"
C4766,"['Architecting best practice technical solutions', 'Technical program management', 'QA/QM', 'Client management', 'Vendor management', 'Testing and commissioning planning and execution', 'Team leadership / cross-team collaboration', 'Engineering cost estimating', 'Engineering resource management and forecasting', 'Process improvement']",['Electrical and Computer Engineering'],"['Regional Engineering Manager', 'Engineering Supervisor', 'Senior Engineer', 'Systems Engineer II', 'Control Systems Engineer I / II', 'Associate Systems Engineer']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support"
C1057,"['Software Engineer/Developer', 'Software Development', 'Project Management', 'Machine Learning', 'Computer Vision', 'OpenCV', 'Python', 'C++', 'Ruby', 'Learning Algorithm']","['Electronics & Computers', 'Software Development']",['Software Development and Deployment Engineer'],"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support"
C6581,"['Client engagement', 'Communication', 'Analytical and business acumen', 'Demand creation pursuits', 'Federal Government experience', 'IT support services', 'Data storage', 'Interoperability', 'Advanced data analytics']","['Mechanical-Industrial Engineering', 'Accelerated Management Program', 'N/A']","['Director, Business Development', 'CEO and President', 'Vice President, Commercial Digital Services', 'Director, National and Strategic Accounts - Digital and Applied Imaging Group']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution"
C1113,"['Machine Learning', 'Data processing', 'Data visualization', 'Deep Learning', 'SQL', 'Python Programming', 'PyCharm', 'Django']",['CSE'],['Python Intern'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




"
C8070,"['Excellent communication', 'Inspecting', 'Team Lead', 'Modems', 'Processes', 'Scheduling', 'Technician', 'Trainer', 'Troubleshooting']",['Electronic Engineering Electronics Engineering Field'],"['Self-Sustaining Engineering Technician', 'Production Technician', 'Electronic Technician']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




"
C9530,"['15+ years of experience in Accounting & Bookkeeping Services', 'Financial statements', 'Bank reconciliations and General Ledger expertise', 'Flexible team player', 'Financial statement analysis', 'Tax return filing', 'GAAP understanding', 'Bank reconciliations and balancing', 'Microsoft Word', 'Excel', 'Access', 'PowerPoint', 'Outlook', 'Asset Keeper Pro Software', 'QuickBooks Software', 'Fixed Asset Solutions Software', 'Creative Solutions Bookkeeping Software', 'HOST Software', 'Document Manager Software', 'ProSystem', 'UltraTax', 'Lacerte Tax Preparation Software']",['Accounting'],"['Accountant', 'Accountant', 'Accountant', 'Accountant']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting"
C3166,"['Machine Learning', 'Data Analytics', 'Data Manipulation', 'Data Mining', 'Deep Learning', 'Algorithms', 'Selenium', 'Jenkins', 'Python', 'Java', 'SQL', 'Quality Control']",['Information Technology'],['Junior Machine Learning Engineer'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support"
C2005,"['Data Science', 'Data Analysis', 'Machine Learning', 'Deep Learning', 'Statistical Analysis', 'Data Mining', 'Computer Vision', 'Algorithm Development', 'Linear Regression', 'Market Basket Analysis', 'Python', 'R', 'SQL', 'NoSQL']","['Commerce', 'Data Science and Business Analytics']","['Lead Data Scientist', 'Data Scientist']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality"
C1316,"['Python', 'SQL', 'MySQL', 'Tableau', 'Power Bi', 'Pandas', 'Numpy', 'Matplotlib', 'Excel', 'Machine Learning', 'AWS(EMR,EC2,S3)', 'Cloud', 'Hive(HQL)', 'Excel']",['ECE'],['Intern'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge"
C0001,"['Big Data', 'Hadoop', 'Hive', 'Python', 'Mapreduce', 'Spark', 'Java', 'Machine Learning', 'Cloud', 'Hdfs', 'YARN', 'Core Java', 'Data Science', 'C++', 'Data Structures', 'DBMS', 'RDBMS', 'Informatica', 'Talend', 'Amazon Redshift', 'Microsoft Azure']",['Electronics'],['Big Data Analyst'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




"
C5840,"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['Accounting'],"['Senior Accountant', 'Accountant', 'Financial Analyst']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge"
C6973,"['Administrative support', 'AP', 'Critical thinking', 'Doors', 'Engineer', 'Senior Management', 'Forms', 'Functional', 'Leadership', 'Machinery', 'Navy', 'Oil', 'Organizational', 'Pearl', 'Personnel', 'Personnel management', 'Pick', 'Problem solving', 'Progress', 'Project management', 'Proposals', 'Quality assurance', 'Repairs', 'Reporting', 'Requirement', 'Switches', 'Time management', 'Troubles', 'Technical review', 'Blueprint understanding', 'Project support', 'Document control', 'Engineering operational functions', 'SharePoint', 'Manufacturing systems integration', 'Team management']","['N/A', 'Engineering', 'Basic Propulsion Equipment', 'Gas Turbine Mechanical', 'Electrical', 'SHIPBD GAGE CAL', 'SHIPBOARD FIREFIGHTING', 'Waste Heat Boilers', 'Class Facilitator Instructional', 'MACHINERY CONTROL SYSTEM', 'Marine Maintenance And Ship Repair']","['Engineering Assistant', 'Electrical Superintendent', 'Engineering Assistant']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO"
C6475,"['SAAS', 'Data Analyst', 'SQL', 'SPSS', 'Statistical Analysis', 'Microsoft Azure', 'Power Bi', 'MySQL', 'Excel', 'Data Visualization', 'Data Interpretation', 'Data Extraction', 'Cloud Computing', 'Business Intelligence']",['Electrical'],['Associate Data Engineer'],"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation"
C0857,"['Embedded Software Development', 'Embedded Systems', 'Project Management', 'Change Management', 'Defect Management', 'Machine Learning', 'Unit Testing', 'C++', 'GIT', 'Data Structures', 'Python']","['Telecommunication', 'Electrical']",['Product Engineer Intern'],"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution"
C5058,"['Web Development', 'Neural Networks', 'Deep Learning', 'Machine Learning', 'Python', 'TensorflowJS', 'Front End', 'HTML', 'CSS', 'JavaScript', 'Flutter']",['N/A'],['Intern'],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution"
C8410,"['Business Associate', 'Program Management', 'Presales', 'Artificial Intelligence', 'Data Analytics', 'Telecommunication', 'Machine Learning', 'Cloud', 'M&E', 'Conversational AI', 'Predictive Analytics', 'Sales', 'Business Development', 'NLP', 'RFP', 'Computer Vision']",['Computers'],['Business Associate'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance"
